City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,karaton,-6.3424,106.1045,83.41,76,100,0.56,ID,1743652817
159,argo,37.6333,22.7333,53.08,82,35,2.37,GR,1743652819
160,longyearbyen,78.2186,15.6401,1.24,60,20,12.66,SJ,1743652591
161,codrington,-38.2667,141.9667,62.02,69,98,16.49,AU,1743652821
162,kapa'a,22.0752,-159.319,77.47,81,81,1.83,US,1743652822
163,udachny,66.4167,112.4,8.49,83,100,17.25,RU,1743652823
164,eyl,7.9803,49.8164,78.49,70,31,10.16,SO,1743652824
165,pelabuhanratu,-6.9875,106.5514,83.16,75,80,2.59,ID,1743652825
166,karamay,45.6004,84.8661,49.05,47,5,9.75,CN,1743652827
167,ta`u,-14.2336,-169.5144,83.35,73,100,5.21,AS,1743652828
168,bulgan,48.8125,103.5347,31.19,69,100,8.16,MN,1743652829
169,el calafate,-50.3408,-72.2768,37.13,67,6,4.38,AR,1743652830
170,kourou,5.1552,-52.6478,75.61,94,100,8.1,GF,1743652831
171,susuman,62.7833,148.1667,18.07,80,100,7.74,RU,1743652833
172,haiku-pauwela,20.9219,-156.3051,78.82,67,20,8.99,US,1743652834
173,alofi,-19.0595,-169.9187,75.09,94,38,2.3,NU,1743652835
174,saipan,15.1355,145.701,88.5,62,40,12.66,MP,1743652836
175,bonthe,7.5264,-12.505,78.49,85,85,5.91,SL,1743652838
176,srpska crnja,45.7233,20.6886,44.98,95,100,7.23,RS,1743652839
177,kirakira,-10.4544,161.9205,84.83,78,100,6.82,SB,1743652840
178,sechura,-5.5569,-80.8222,76.51,69,95,11.86,PE,1743652841
179,melfort,52.8667,-104.6177,19.53,68,50,5.75,CA,1743652842
180,margate,51.3813,1.3862,48.69,79,7,1.01,GB,1743652843
181,dunedin,-45.8742,170.5036,63.23,81,15,18.32,NZ,1743652844
182,mount pearl,47.5166,-52.7813,26.15,67,75,33.38,CA,1743652846
183,kotlas,61.2611,46.6556,34.74,89,100,12.64,RU,1743652847
184,ust-nera,64.5667,143.2,22.3,89,100,6.76,RU,1743652848
185,severo-yeniseyskiy,60.3725,93.0408,22.48,86,100,9.55,RU,1743652849
186,zastron,-30.3023,27.084,53.26,76,82,3.65,ZA,1743652850
187,san andres,12.5847,-81.7006,76.96,80,96,15.01,CO,1743652748
188,teofilo otoni,-17.8575,-41.5053,67.14,98,5,2.57,BR,1743652854
189,vorgashor,67.5833,63.95,4.73,91,12,5.84,RU,1743652855
190,riverton,40.5219,-111.9391,39.34,69,100,5.75,US,1743652856
191,aconibe,1.2968,10.9369,68.97,97,100,1.72,GQ,1743652857
192,fort st. john,56.2499,-120.8529,30.09,40,40,5.75,CA,1743652859
193,tura,25.5198,90.2201,91.15,28,15,6.93,IN,1743652861
194,saldanha,-33.0117,17.9442,61.12,73,0,8.28,ZA,1743652862
195,lazaro cardenas,17.9583,-102.2,72.55,81,71,2.93,MX,1743652863
196,papao,-17.75,-149.55,85.68,73,13,8.28,PF,1743652864
197,taunggyi,20.7833,97.0333,87.98,22,50,5.08,MM,1743652865
198,holualoa,19.6228,-155.9522,76.55,62,100,10.29,US,1743652866
199,alvear,-29.0968,-56.5504,66.58,97,99,1.97,AR,1743652868
200,badiyah,22.45,58.8,84.51,11,0,5.73,OM,1743652743
201,broken hill,-31.95,141.4333,73.33,30,0,14.0,AU,1743652681
202,floro,61.5996,5.0328,42.76,93,40,4.61,NO,1743652871
203,kshenskiy,51.8408,37.7136,44.24,85,100,8.81,RU,1743652872
204,ghadamis,30.1337,9.5007,71.69,18,38,12.44,LY,1743652873
205,golfito,8.639,-83.166,72.86,86,100,2.33,CR,1743652874
206,ugoofaaru,5.6667,73.0,82.6,66,13,1.57,MV,1743652877
207,ancud,-41.8697,-73.8203,43.34,87,0,6.96,CL,1743652584
208,vorkuta,67.5,64.0,4.77,91,12,5.12,RU,1743652879
209,lubumbashi,-11.6609,27.4794,59.97,99,26,4.03,CD,1743652880
210,tommot,58.9564,126.2925,30.7,90,100,10.29,RU,1743652882
211,glace bay,46.1969,-59.957,25.14,73,20,13.8,CA,1743652883
212,vila velha,-20.3297,-40.2925,75.15,100,20,2.3,BR,1743652676
213,qamdo,31.1667,97.2333,40.91,44,100,9.33,CN,1743652885
214,clevelandia,-26.3958,-52.4708,66.2,99,90,1.36,BR,1743652887
215,gifford,27.6753,-80.4092,78.04,88,40,10.36,US,1743652888
216,taro,-8.3862,115.28,84.4,54,50,4.16,ID,1743652889
217,kingston,17.997,-76.7936,79.75,69,20,6.91,JM,1743652835
218,ciudad acuna,29.3232,-100.9522,86.58,53,0,16.11,MX,1743652891
219,bathsheba,13.2167,-59.5167,79.41,73,40,18.41,BB,1743652892
220,turpan,42.9333,89.1667,64.98,22,100,7.54,CN,1743652893
221,hailey,43.5196,-114.3153,30.76,73,68,6.06,US,1743652801
222,kailua-kona,19.6406,-155.9956,80.28,63,100,3.0,US,1743652864
223,luganville,-15.5333,167.1667,84.79,74,56,6.22,VU,1743652899
224,klaksvik,62.2266,-6.589,42.55,64,59,12.17,FO,1743652900
225,cockermouth,54.6621,-3.3609,41.41,92,0,7.0,GB,1743652901
226,flying fish cove,-10.4217,105.6791,85.68,79,75,11.5,CX,1743652902
227,nemuro,43.3236,145.575,33.89,88,98,21.14,JP,1743652621
228,mount gambier,-37.8333,140.7667,61.11,55,89,11.95,AU,1743652904
229,barra do corda,-5.5,-45.25,70.9,96,3,2.17,BR,1743652906
230,imperatriz,-5.5264,-47.4917,72.23,97,15,2.08,BR,1743652882
